City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,nicoya,10.1483,-85.452,22.30000000000001,80,9,4.2,CR,1675161534
190,raudeberg,61.9875,5.1352,1.5900000000000318,68,100,7.58,NO,1675161535
191,torbay,47.6666,-52.7314,-0.339999999999975,96,100,3.09,CA,1675161535
192,kampot,10.6167,104.1833,28.03000000000003,57,61,1.21,KH,1675161535
193,puerto gaitan,4.3133,-72.0816,22.189999999999998,61,51,3.28,CO,1675161536
194,bubaque,11.2833,-15.8333,24.610000000000014,40,36,5.45,GW,1675161536
195,auki,-8.7676,160.7034,25.79000000000002,82,74,0.42,SB,1675161536
196,pisco,-13.7,-76.2167,22.03000000000003,88,97,1.54,PE,1675161537
197,kumluca,36.3703,30.2869,13.170000000000016,44,22,2.65,TR,1675161537
198,letlhakane,-21.4167,25.5833,30.660000000000025,38,96,3.84,BW,1675161537
199,yaan,7.3833,8.5667,34.170000000000016,37,53,3.15,NG,1675161538
200,great falls,47.5002,-111.3008,-7.5499999999999545,67,0,11.83,US,1675161538
201,harper,4.375,-7.7169,29.180000000000007,69,39,1.97,LR,1675161539
202,hulan,45.9833,126.6,-12.939999999999998,95,100,1.3,CN,1675161539
203,bathsheba,13.2167,-59.5167,23.340000000000032,73,20,4.63,BB,1675161540
204,dvinskoy,62.1535,45.1175,-1.8799999999999955,91,100,4.81,RU,1675161540
205,kempten,47.7267,10.3139,3.0400000000000205,73,29,3.33,DE,1675161540
206,havoysund,70.9963,24.6622,2.1299999999999955,66,74,7.96,NO,1675161541
207,kolondieba,11.0882,-6.8926,31.470000000000027,7,18,3.18,ML,1675161541
208,dongli,23.5656,116.8194,16.99000000000001,48,75,1.0,CN,1675161542
209,eureka,40.8021,-124.1637,4.760000000000048,91,10,2.48,US,1675161435
210,tazovskiy,67.4667,78.7,-26.589999999999975,100,68,2.67,RU,1675161543
211,pandan,14.0453,124.1694,24.850000000000023,87,74,7.41,PH,1675161543
212,hambantota,6.1241,81.1185,28.189999999999998,89,75,1.54,LK,1675161544
213,paamiut,61.994,-49.6678,-10.629999999999995,84,100,4.12,GL,1675161544
214,southwick,42.0548,-72.7704,1.2300000000000182,76,100,5.14,US,1675161545
215,alta floresta,-9.8756,-56.0861,21.350000000000023,96,85,0.69,BR,1675161545
216,mayya,61.7333,130.2811,-46.37999999999997,100,93,1.68,RU,1675161546
217,hualmay,-11.0964,-77.6139,21.230000000000018,85,100,1.3,PE,1675161546
218,mimongo,-1.6195,11.6068,31.230000000000018,48,48,0.41,GA,1675161546
219,neiafu,-18.65,-173.9833,27.920000000000016,75,100,4.6,TO,1675161547
220,inuvik,68.3499,-133.7218,-30.43999999999997,69,20,1.54,CA,1675161547
221,morondava,-20.2833,44.2833,29.260000000000048,72,63,3.6,MG,1675161548
222,staunton,38.1496,-79.0717,11.890000000000043,79,0,4.12,US,1675161548
223,billings,45.7833,-108.5007,-13.129999999999995,54,0,7.72,US,1675161548
224,sibu,2.3,111.8167,28.170000000000016,78,40,1.03,MY,1675161428
225,amahai,-3.3333,128.9167,26.99000000000001,79,87,1.56,ID,1675161549
226,glenwood springs,39.5505,-107.3248,-10.329999999999984,74,100,3.09,US,1675161550
227,la ronge,55.1001,-105.2842,-28.859999999999985,76,0,2.06,CA,1675161551
228,guangyuan,32.442,105.823,13.770000000000039,38,0,0.53,CN,1675161551
229,vila franca do campo,37.7167,-25.4333,13.230000000000018,68,100,4.53,PT,1675161552
230,cartagena,10.3997,-75.5144,21.79000000000002,88,0,1.54,CO,1675161479
231,senneterre,48.3835,-77.2328,-34.19999999999999,100,93,1.82,CA,1675161552
232,tevaitoa,-16.7833,-151.5,27.120000000000005,78,13,6.73,PF,1675161553
233,mackay,-21.15,149.2,26.49000000000001,81,77,5.57,AU,1675161553
234,ahipara,-35.1667,173.1667,19.610000000000014,96,73,3.57,NZ,1675161555
235,viesca,25.35,-102.8,14.730000000000018,60,8,1.11,MX,1675161556
236,treuchtlingen,48.95,10.9167,3.7800000000000296,83,98,5.53,DE,1675161556
237,henties bay,-22.116,14.2845,19.78000000000003,73,34,4.31,NA,1675161557
238,marang,5.2056,103.2059,27.760000000000048,85,100,3.8,MY,1675161557
239,masty,53.4122,24.5387,2.0500000000000114,91,74,6.97,BY,1675161557
240,kuhdasht,33.535,47.6061,4.3799999999999955,97,100,5.96,IR,1675161558
241,seoul,37.5683,126.9778,5.78000000000003,70,75,4.12,KR,1675161388
242,la mira,18.035,-102.3266,21.08000000000004,89,37,2.04,MX,1675161559
243,bireun,5.203,96.7009,25.560000000000002,89,93,3.0,ID,1675161559
244,sorland,67.667,12.6934,2.920000000000016,68,77,10.25,NO,1675161559
245,planaltina,-15.4528,-47.6142,20.430000000000007,86,21,1.15,BR,1675161560
246,traverse city,44.7631,-85.6206,-10.889999999999986,79,100,2.57,US,1675161560
247,aripuana,-9.1667,-60.6333,21.230000000000018,99,100,1.84,BR,1675161561
248,yabelo,4.8833,38.0833,24.600000000000023,31,60,5.84,ET,1675161561
249,cabo san lucas,22.8909,-109.9124,20.840000000000032,78,100,5.07,MX,1675161561
250,turka,49.1541,23.0297,-0.38999999999998636,88,100,4.29,UA,1675161562
251,georgetown,5.4112,100.3354,30.970000000000027,64,20,1.54,MY,1675161437
252,grave,51.759,5.7388,6.760000000000048,87,100,8.23,NL,1675161563
253,pryozerne,45.2698,36.3303,4.28000000000003,66,99,1.43,UA,1675161563
254,komsomolskiy,40.4272,71.7189,7.400000000000034,39,99,0.0,UZ,1675161564
255,pailon,-17.65,-62.75,23.82000000000005,89,100,4.01,BO,1675161565
256,borba,-4.3878,-59.5939,21.720000000000027,100,100,1.03,BR,1675161565
257,rolla,37.9514,-91.7713,-8.810000000000002,70,100,4.12,US,1675161566
258,port-cartier,50.0334,-66.8654,-19.17999999999998,95,98,2.93,CA,1675161566
259,nizhniy kuranakh,58.8353,125.4869,-22.279999999999973,96,100,3.0,RU,1675161567
260,waingapu,-9.6567,120.2641,27.680000000000007,79,100,2.28,ID,1675161567
261,iqaluit,63.7506,-68.5145,-31.149999999999977,69,75,5.14,CA,1675161567
262,inverell,-29.7833,151.1167,19.53000000000003,89,37,2.68,AU,1675161568
263,cockburn town,21.4612,-71.1419,25.100000000000023,72,43,9.27,TC,1675161568
264,bethel,41.3712,-73.414,2.1899999999999977,82,100,5.14,US,1675161495
265,juba,4.8517,31.5825,37.81,18,78,2.82,SS,1675161569
266,hadejia,12.4498,10.0444,33.29000000000002,8,7,5.0,NG,1675161569
267,dingle,10.9995,122.6711,24.260000000000048,90,93,4.42,PH,1675161570
268,villarrica,-25.75,-56.4333,23.05000000000001,92,90,0.62,PY,1675161570
269,artyom,40.4723,50.333,10.080000000000041,81,100,4.3,AZ,1675161571
270,cidreira,-30.1811,-50.2056,24.05000000000001,74,7,1.93,BR,1675161571
271,bandarbeyla,9.4942,50.8122,25.230000000000018,61,50,7.27,SO,1675161572
272,kibre mengist,5.8833,38.9833,29.910000000000025,21,11,2.57,ET,1675161573
273,udachnyy,66.4167,112.4,-41.559999999999974,100,66,1.91,RU,1675161573
274,kavaratti,10.5669,72.642,26.80000000000001,72,55,7.15,IN,1675161573
275,edd,13.9297,41.6925,31.590000000000032,40,2,8.09,ER,1675161574
276,mahebourg,-20.4081,57.7,30.160000000000025,74,75,3.09,MU,1675161574
277,sibolga,1.7427,98.7792,26.32000000000005,89,100,0.91,ID,1675161575
278,farafangana,-22.8167,47.8333,26.160000000000025,85,73,5.4,MG,1675161575
279,atar,20.5169,-13.0499,22.600000000000023,18,86,2.63,MR,1675161576
280,abu samrah,35.3029,37.1841,10.57000000000005,73,96,5.99,SY,1675161576
281,sinop,41.7711,34.8709,1.240000000000009,98,100,2.44,TR,1675161577
282,laguna de perlas,12.3429,-83.6712,23.660000000000025,88,63,3.33,NI,1675161577
283,biak,-0.9131,122.8766,25.660000000000025,82,99,1.64,ID,1675161578
284,hamilton,39.1834,-84.5333,-4.039999999999964,88,100,5.66,US,1675161320
285,vanimo,-2.6741,141.3028,25.950000000000045,88,100,1.48,PG,1675161578
286,baihar,22.1,80.55,28.78000000000003,23,2,3.16,IN,1675161579
287,flinders,-34.5833,150.8552,21.879999999999995,79,5,4.62,AU,1675161579
288,ancud,-41.8697,-73.8203,8.75,67,0,1.75,CL,1675161579
289,kunszentmarton,46.8392,20.2888,7.439999999999998,59,10,8.26,HU,1675161580
290,sabha,27.0377,14.4283,14.490000000000009,22,0,3.43,LY,1675161581
291,luanda,-8.8368,13.2343,30.0,66,75,1.54,AO,1675161472
292,durban,-29.8579,31.0292,27.510000000000048,78,56,6.79,ZA,1675161581
293,gladstone,-23.85,151.25,27.960000000000036,69,100,5.14,AU,1675161480
294,ambilobe,-13.2,49.05,29.57000000000005,75,48,2.59,MG,1675161582
295,amapa,1.0,-52.0,22.170000000000016,98,95,0.54,BR,1675161582
296,yurty,56.0498,97.6348,-17.50999999999999,99,84,1.34,RU,1675161583
297,benjamin hill,30.1667,-111.1,7.150000000000034,63,0,1.6,MX,1675161584
298,coihaique,-45.5752,-72.0662,1.9700000000000273,93,0,1.54,CL,1675161584
299,sebinkarahisar,40.2883,38.4236,3.3000000000000114,47,41,0.71,TR,1675161584
300,jinchang,38.4953,102.1739,-2.42999999999995,26,11,1.51,CN,1675161585
301,avenal,36.0041,-120.129,-2.1299999999999955,65,0,1.03,US,1675161585
302,zeya,53.75,127.2667,-28.99999999999997,100,70,1.52,RU,1675161585
303,aykhal,66.0,111.5,-36.829999999999984,100,62,2.41,RU,1675161586
304,vostok,46.4856,135.8833,-23.519999999999982,98,91,2.26,RU,1675161587
305,bethanien,-26.502,17.1583,33.120000000000005,12,0,1.37,NA,1675161587
306,aktau,43.65,51.2,5.32000000000005,41,8,4.95,KZ,1675161588
307,chilliwack,49.1747,-121.9443,-0.7099999999999795,78,100,0.89,CA,1675161588
308,leningradskiy,69.3833,178.4167,-13.739999999999952,95,100,3.4,RU,1675161588
309,ossora,59.2353,163.0719,-5.089999999999975,96,100,2.43,RU,1675161589
310,port macquarie,-31.4333,152.9167,22.160000000000025,85,42,4.33,AU,1675161518
311,promyshlennyy,67.5833,63.9167,-11.909999999999968,86,99,3.71,RU,1675161589
312,saint-leu,-21.15,55.2833,30.480000000000018,78,76,4.46,RE,1675161590
313,lorengau,-2.0226,147.2712,27.450000000000045,75,100,1.6,PG,1675161590
314,altay,47.8667,88.1167,-13.019999999999982,65,6,2.92,CN,1675161591
315,esperance,-33.8667,121.9,18.310000000000002,81,56,8.87,AU,1675161591
316,thinadhoo,0.5333,72.9333,27.439999999999998,74,58,4.19,MV,1675161568
317,kirakira,-10.4544,161.9205,26.640000000000043,82,99,1.69,SB,1675161592
318,hanna,51.6334,-111.9018,-9.669999999999959,92,100,1.84,CA,1675161592
319,turki,51.987,43.2731,0.4300000000000068,99,100,3.46,RU,1675161593
320,santa cruz,-17.8,-63.1667,23.03000000000003,94,75,6.69,BO,1675161593
321,gornopravdinsk,60.05,69.9,-8.109999999999957,94,94,2.91,RU,1675161594
322,ler,8.3018,30.1418,39.950000000000045,7,4,2.54,SS,1675161594
323,nenagh,52.8619,-8.1967,7.740000000000009,77,95,5.76,IE,1675161595
324,manyana,-23.4,21.7167,30.189999999999998,35,40,6.49,BW,1675161595
325,grindavik,63.8424,-22.4338,0.9700000000000273,69,100,10.29,IS,1675161596
326,kassala,15.451,36.4,34.51000000000005,13,7,4.17,SD,1675161596
327,goure,13.9835,10.2704,31.77000000000004,7,48,5.01,NE,1675161596
